Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,fair,0.09999999996763785,83,b,9,0,0,0
network,fair,0.09999999996763785,84,b,0,69,69,0
network,fair,0.09999999996763785,84,b,1,84,83,1
network,fair,0.09999999996763785,84,b,2,36,34,2
network,fair,0.09999999996763785,84,b,3,2,2,0
network,fair,0.09999999996763785,84,b,4,0,0,0
network,fair,0.09999999996763785,84,b,5,0,0,0
network,fair,0.09999999996763785,84,b,6,0,0,0
network,fair,0.09999999996763785,84,b,7,0,0,0
network,fair,0.09999999996763785,84,b,8,0,0,0
network,fair,0.09999999996763785,84,b,9,0,0,0
network,fair,0.09999999996763785,85,b,0,69,69,0
network,fair,0.09999999996763785,85,b,1,78,78,0
network,fair,0.09999999996763785,85,b,2,36,34,2
network,fair,0.09999999996763785,85,b,3,2,1,1
network,fair,0.09999999996763785,85,b,4,0,0,0
network,fair,0.09999999996763785,85,b,5,0,0,0
network,fair,0.09999999996763785,85,b,6,0,0,0
network,fair,0.09999999996763785,85,b,7,0,0,0
network,fair,0.09999999996763785,85,b,8,0,0,0
network,fair,0.09999999996763785,85,b,9,0,0,0
network,fair,0.09999999996763785,86,b,0,69,69,0
network,fair,0.09999999996763785,86,b,1,86,83,3
network,fair,0.09999999996763785,86,b,2,32,29,3
network,fair,0.09999999996763785,86,b,3,5,4,1
network,fair,0.09999999996763785,86,b,4,0,0,0
network,fair,0.09999999996763785,86,b,5,0,0,0
network,fair,0.09999999996763785,86,b,6,0,0,0
network,fair,0.09999999996763785,86,b,7,0,0,0
network,fair,0.09999999996763785,86,b,8,0,0,0
network,fair,0.09999999996763785,86,b,9,0,0,0
network,fair,0.09999999996763785,87,b,0,69,69,0
network,fair,0.09999999996763785,87,b,1,82,80,2
network,fair,0.09999999996763785,87,b,2,38,34,4
network,fair,0.09999999996763785,87,b,3,5,4,1
network,fair,0.09999999996763785,87,b,4,0,0,0
network,fair,0.09999999996763785,87,b,5,0,0,0
network,fair,0.09999999996763785,87,b,6,0,0,0
network,fair,0.09999999996763785,87,b,7,0,0,0
network,fair,0.09999999996763785,87,b,8,0,0,0
network,fair,0.09999999996763785,87,b,9,0,0,0
network,fair,0.09999999996763785,88,b,0,69,69,0
network,fair,0.09999999996763785,88,b,1,68,66,2
network,fair,0.09999999996763785,88,b,2,34,33,1
network,fair,0.09999999996763785,88,b,3,7,7,0
network,fair,0.09999999996763785,88,b,4,0,0,0
network,fair,0.09999999996763785,88,b,5,0,0,0
network,fair,0.09999999996763785,88,b,6,0,0,0
network,fair,0.09999999996763785,88,b,7,0,0,0
network,fair,0.09999999996763785,88,b,8,0,0,0
network,fair,0.09999999996763785,88,b,9,0,0,0
network,fair,0.09999999996763785,89,b,0,69,69,0
network,fair,0.09999999996763785,89,b,1,81,77,4
network,fair,0.09999999996763785,89,b,2,35,35,0
network,fair,0.09999999996763785,89,b,3,4,4,0
network,fair,0.09999999996763785,89,b,4,1,0,1
network,fair,0.09999999996763785,89,b,5,0,0,0
network,fair,0.09999999996763785,89,b,6,0,0,0
network,fair,0.09999999996763785,89,b,7,0,0,0
network,fair,0.09999999996763785,89,b,8,0,0,0
network,fair,0.09999999996763785,89,b,9,0,0,0
network,fair,0.09999999996763785,90,b,0,69,69,0
network,fair,0.09999999996763785,90,b,1,84,82,2
network,fair,0.09999999996763785,90,b,2,31,30,1
network,fair,0.09999999996763785,90,b,3,3,1,2
network,fair,0.09999999996763785,90,b,4,0,0,0
network,fair,0.09999999996763785,90,b,5,0,0,0
network,fair,0.09999999996763785,90,b,6,0,0,0
network,fair,0.09999999996763785,90,b,7,0,0,0
network,fair,0.09999999996763785,90,b,8,0,0,0
network,fair,0.09999999996763785,90,b,9,0,0,0
network,fair,0.09999999996763785,91,b,0,69,69,0
network,fair,0.09999999996763785,91,b,1,74,73,1
network,fair,0.09999999996763785,91,b,2,31,31,0
network,fair,0.09999999996763785,91,b,3,3,2,1
network,fair,0.09999999996763785,91,b,4,0,0,0
network,fair,0.09999999996763785,91,b,5,0,0,0
network,fair,0.09999999996763785,91,b,6,0,0,0
network,fair,0.09999999996763785,91,b,7,0,0,0
network,fair,0.09999999996763785,91,b,8,0,0,0
network,fair,0.09999999996763785,91,b,9,0,0,0
network,fair,0.09999999996763785,92,b,0,69,69,0
network,fair,0.09999999996763785,92,b,1,86,85,1
network,fair,0.09999999996763785,92,b,2,33,30,3
network,fair,0.09999999996763785,92,b,3,4,3,1
network,fair,0.09999999996763785,92,b,4,0,0,0
network,fair,0.09999999996763785,92,b,5,0,0,0
network,fair,0.09999999996763785,92,b,6,0,0,0
network,fair,0.09999999996763785,92,b,7,0,0,0
network,fair,0.09999999996763785,92,b,8,0,0,0
network,fair,0.09999999996763785,92,b,9,0,0,0
network,fair,0.09999999996763785,93,b,0,69,69,0
network,fair,0.09999999996763785,93,b,1,84,82,2
network,fair,0.09999999996763785,93,b,2,29,28,1
network,fair,0.09999999996763785,93,b,3,3,3,0
network,fair,0.09999999996763785,93,b,4,0,0,0
network,fair,0.09999999996763785,93,b,5,0,0,0
network,fair,0.09999999996763785,93,b,6,0,0,0
network,fair,0.09999999996763785,93,b,7,0,0,0
network,fair,0.09999999996763785,93,b,8,0,0,0
network,fair,0.09999999996763785,93,b,9,0,0,0
network,fair,0.09999999996763785,94,b,0,69,69,0
network,fair,0.09999999996763785,94,b,1,86,84,2
network,fair,0.09999999996763785,94,b,2,25,22,3
network,fair,0.09999999996763785,94,b,3,4,2,2
network,fair,0.09999999996763785,94,b,4,1,1,0
network,fair,0.09999999996763785,94,b,5,0,0,0
network,fair,0.09999999996763785,94,b,6,0,0,0
network,fair,0.09999999996763785,94,b,7,0,0,0
network,fair,0.09999999996763785,94,b,8,0,0,0
network,fair,0.09999999996763785,94,b,9,0,0,0
network,fair,0.09999999996763785,95,b,0,69,69,0
network,fair,0.09999999996763785,95,b,1,85,83,2
network,fair,0.09999999996763785,95,b,2,37,32,5
network,fair,0.09999999996763785,95,b,3,2,2,0
network,fair,0.09999999996763785,95,b,4,0,0,0
network,fair,0.09999999996763785,95,b,5,0,0,0
network,fair,0.09999999996763785,95,b,6,0,0,0
network,fair,0.09999999996763785,95,b,7,0,0,0
network,fair,0.09999999996763785,95,b,8,0,0,0
network,fair,0.09999999996763785,95,b,9,0,0,0
network,fair,0.09999999996763785,96,b,0,69,69,0
network,fair,0.09999999996763785,96,b,1,80,79,1
network,fair,0.09999999996763785,96,b,2,37,33,4
network,fair,0.09999999996763785,96,b,3,4,4,0
network,fair,0.09999999996763785,96,b,4,2,2,0
network,fair,0.09999999996763785,96,b,5,0,0,0
network,fair,0.09999999996763785,96,b,6,0,0,0
network,fair,0.09999999996763785,96,b,7,0,0,0
network,fair,0.09999999996763785,96,b,8,0,0,0
network,fair,0.09999999996763785,96,b,9,0,0,0
network,fair,0.09999999996763785,97,b,0,69,69,0
network,fair,0.09999999996763785,97,b,1,90,87,3
network,fair,0.09999999996763785,97,b,2,24,24,0
network,fair,0.09999999996763785,97,b,3,0,0,0
network,fair,0.09999999996763785,97,b,4,0,0,0
network,fair,0.09999999996763785,97,b,5,0,0,0
network,fair,0.09999999996763785,97,b,6,0,0,0
network,fair,0.09999999996763785,97,b,7,0,0,0
network,fair,0.09999999996763785,97,b,8,0,0,0
network,fair,0.09999999996763785,97,b,9,0,0,0
network,fair,0.09999999996763785,98,b,0,69,69,0
network,fair,0.09999999996763785,98,b,1,85,84,1
network,fair,0.09999999996763785,98,b,2,29,26,3
network,fair,0.09999999996763785,98,b,3,4,3,1
network,fair,0.09999999996763785,98,b,4,1,0,1
network,fair,0.09999999996763785,98,b,5,0,0,0
network,fair,0.09999999996763785,98,b,6,0,0,0
network,fair,0.09999999996763785,98,b,7,0,0,0
network,fair,0.09999999996763785,98,b,8,0,0,0
network,fair,0.09999999996763785,98,b,9,0,0,0
network,fair,0.09999999996763785,99,b,0,69,69,0
network,fair,0.09999999996763785,99,b,1,99,96,3
network,fair,0.09999999996763785,99,b,2,30,30,0
network,fair,0.09999999996763785,99,b,3,1,1,0
network,fair,0.09999999996763785,99,b,4,0,0,0
network,fair,0.09999999996763785,99,b,5,0,0,0
network,fair,0.09999999996763785,99,b,6,0,0,0
network,fair,0.09999999996763785,99,b,7,0,0,0
network,fair,0.09999999996763785,99,b,8,0,0,0
network,fair,0.09999999996763785,99,b,9,0,0,0
network,half,0.5,0,a,0,69,0,69
network,half,0.5,0,a,1,26,1,25
network,half,0.5,0,a,2,25,2,23
network,half,0.5,0,a,3,11,2,9
network,half,0.5,0,a,4,1,0,1
network,half,0.5,0,a,5,1,0,1
network,half,0.5,0,a,6,0,0,0
network,half,0.5,0,a,7,0,0,0
network,half,0.5,0,a,8,0,0,0
network,half,0.5,0,a,9,0,0,0
network,half,0.5,1,a,0,69,0,69
network,half,0.5,1,a,1,41,4,37
network,half,0.5,1,a,2,24,1,23
network,half,0.5,1,a,3,14,0,14
network,half,0.5,1,a,4,9,2,7
network,half,0.5,1,a,5,0,0,0
network,half,0.5,1,a,6,0,0,0
network,half,0.5,1,a,7,0,0,0
network,half,0.5,1,a,8,0,0,0
network,half,0.5,1,a,9,0,0,0
network,half,0.5,2,a,0,69,0,69
network,half,0.5,2,a,1,50,2,48
network,half,0.5,2,a,2,25,4,21
network,half,0.5,2,a,3,4,0,4
network,half,0.5,2,a,4,0,0,0
network,half,0.5,2,a,5,0,0,0
network,half,0.5,2,a,6,0,0,0
network,half,0.5,2,a,7,0,0,0
network,half,0.5,2,a,8,0,0,0
network,half,0.5,2,a,9,0,0,0
network,half,0.5,3,a,0,69,0,69
network,half,0.5,3,a,1,32,3,29
network,half,0.5,3,a,2,31,3,28
network,half,0.5,3,a,3,2,1,1
network,half,0.5,3,a,4,1,0,1
network,half,0.5,3,a,5,0,0,0
network,half,0.5,3,a,6,0,0,0
network,half,0.5,3,a,7,0,0,0
network,half,0.5,3,a,8,0,0,0
network,half,0.5,3,a,9,0,0,0
network,half,0.5,4,a,0,69,0,69
network,half,0.5,4,a,1,29,4,25
network,half,0.5,4,a,2,13,1,12
network,half,0.5,4,a,3,10,3,7
network,half,0.5,4,a,4,4,2,2
network,half,0.5,4,a,5,2,1,1
network,half,0.5,4,a,6,0,0,0
network,half,0.5,4,a,7,0,0,0
network,half,0.5,4,a,8,0,0,0
network,half,0.5,4,a,9,0,0,0
network,half,0.5,5,a,0,69,0,69
network,half,0.5,5,a,1,36,5,31
network,half,0.5,5,a,2,20,3,17
network,half,0.5,5,a,3,8,1,7
network,half,0.5,5,a,4,6,1,5
network,half,0.5,5,a,5,2,0,2
network,half,0.5,5,a,6,0,0,0
network,half,0.5,5,a,7,0,0,0
network,half,0.5,5,a,8,0,0,0
network,half,0.5,5,a,9,0,0,0
network,half,0.5,6,a,0,69,0,69
network,half,0.5,6,a,1,38,4,34
network,half,0.5,6,a,2,25,4,21
network,half,0.5,6,a,3,9,0,9
network,half,0.5,6,a,4,3,0,3
network,half,0.5,6,a,5,1,0,1
network,half,0.5,6,a,6,0,0,0
network,half,0.5,6,a,7,0,0,0
network,half,0.5,6,a,8,0,0,0
network,half,0.5,6,a,9,0,0,0
network,half,0.5,7,a,0,69,0,69
network,half,0.5,7,a,1,35,2,33
network,half,0.5,7,a,2,22,4,18
network,half,0.5,7,a,3,13,1,12
network,half,0.5,7,a,4,5,0,5
network,half,0.5,7,a,5,2,1,1
network,half,0.5,7,a,6,1,1,0
network,half,0.5,7,a,7,0,0,0
network,half,0.5,7,a,8,0,0,0
network,half,0.5,7,a,9,0,0,0
network,half,0.5,8,a,0,69,0,69
network,half,0.5,8,a,1,48,2,46
network,half,0.5,8,a,2,29,6,23
network,half,0.5,8,a,3,7,3,4
network,half,0.5,8,a,4,3,2,1
network,half,0.5,8,a,5,0,0,0
network,half,0.5,8,a,6,0,0,0
network,half,0.5,8,a,7,0,0,0
network,half,0.5,8,a,8,0,0,0
network,half,0.5,8,a,9,0,0,0
network,half,0.5,9,a,0,69,0,69
network,half,0.5,9,a,1,35,3,32
network,half,0.5,9,a,2,30,4,26
network,half,0.5,9,a,3,9,2,7
network,half,0.5,9,a,4,2,1,1
network,half,0.5,9,a,5,0,0,0
network,half,0.5,9,a,6,0,0,0
network,half,0.5,9,a,7,0,0,0
network,half,0.5,9,a,8,0,0,0
network,half,0.5,9,a,9,0,0,0
network,half,0.5,10,a,0,69,0,69
network,half,0.5,10,a,1,36,1,35
network,half,0.5,10,a,2,23,3,20
network,half,0.5,10,a,3,13,2,11
network,half,0.5,10,a,4,4,0,4
network,half,0.5,10,a,5,0,0,0
network,half,0.5,10,a,6,0,0,0
network,half,0.5,10,a,7,0,0,0
network,half,0.5,10,a,8,0,0,0
network,half,0.5,10,a,9,0,0,0
network,half,0.5,11,a,0,69,0,69
network,half,0.5,11,a,1,41,4,37
network,half,0.5,11,a,2,19,2,17
network,half,0.5,11,a,3,8,4,4
network,half,0.5,11,a,4,4,2,2
network,half,0.5,11,a,5,2,0,2
network,half,0.5,11,a,6,0,0,0
network,half,0.5,11,a,7,0,0,0
network,half,0.5,11,a,8,0,0,0
network,half,0.5,11,a,9,0,0,0
network,half,0.5,12,a,0,69,0,69
network,half,0.5,12,a,1,40,4,36
network,half,0.5,12,a,2,37,16,21
network,half,0.5,12,a,3,57,43,14
network,half,0.5,12,a,4,59,55,4
network,half,0.5,12,a,5,40,38,2
network,half,0.5,12,a,6,11,11,0
network,half,0.5,12,a,7,0,0,0
network,half,0.5,12,a,8,0,0,0
network,half,0.5,12,a,9,0,0,0
network,half,0.5,13,a,0,69,0,69
network,half,0.5,13,a,1,30,1,29
network,half,0.5,13,a,2,20,0,20
network,half,0.5,13,a,3,10,1,9
network,half,0.5,13,a,4,8,0,8
network,half,0.5,13,a,5,3,1,2
network,half,0.5,13,a,6,1,1,0
network,half,0.5,13,a,7,0,0,0
network,half,0.5,13,a,8,0,0,0
network,half,0.5,13,a,9,0,0,0
network,half,0.5,14,a,0,69,0,69
network,half,0.5,14,a,1,34,4,30
network,half,0.5,14,a,2,27,1,26
network,half,0.5,14,a,3,19,0,19
network,half,0.5,14,a,4,5,0,5
network,half,0.5,14,a,5,0,0,0
network,half,0.5,14,a,6,0,0,0
network,half,0.5,14,a,7,0,0,0
network,half,0.5,14,a,8,0,0,0
network,half,0.5,14,a,9,0,0,0
network,half,0.5,15,a,0,69,0,69
network,half,0.5,15,a,1,35,4,31
network,half,0.5,15,a,2,19,3,16
network,half,0.5,15,a,3,4,0,4
network,half,0.5,15,a,4,2,0,2
network,half,0.5,15,a,5,0,0,0
network,half,0.5,15,a,6,0,0,0
network,half,0.5,15,a,7,0,0,0
network,half,0.5,15,a,8,0,0,0
network,half,0.5,15,a,9,0,0,0
network,half,0.5,16,a,0,69,0,69
network,half,0.5,16,a,1,30,1,29
network,half,0.5,16,a,2,15,2,13
network,half,0.5,16,a,3,6,0,6
network,half,0.5,16,a,4,6,0,6
network,half,0.5,16,a,5,2,0,2
network,half,0.5,16,a,6,0,0,0
network,half,0.5,16,a,7,0,0,0
network,half,0.5,16,a,8,0,0,0
network,half,0.5,16,a,9,0,0,0
network,half,0.5,17,a,0,69,0,69
network,half,0.5,17,a,1,42,8,34
network,half,0.5,17,a,2,23,2,21
network,half,0.5,17,a,3,10,0,10
network,half,0.5,17,a,4,5,0,5
network,half,0.5,17,a,5,2,0,2
network,half,0.5,17,a,6,0,0,0
network,half,0.5,17,a,7,0,0,0
network,half,0.5,17,a,8,0,0,0
network,half,0.5,17,a,9,0,0,0
network,half,0.5,18,a,0,69,0,69
network,half,0.5,18,a,1,33,1,32
network,half,0.5,18,a,2,20,2,18
network,half,0.5,18,a,3,10,0,10
network,half,0.5,18,a,4,3,0,3
network,half,0.5,18,a,5,1,0,1
network,half,0.5,18,a,6,0,0,0
network,half,0.5,18,a,7,0,0,0
network,half,0.5,18,a,8,0,0,0
network,half,0.5,18,a,9,0,0,0
network,half,0.5,19,a,0,69,0,69
network,half,0.5,19,a,1,33,1,32
network,half,0.5,19,a,2,22,1,21
network,half,0.5,19,a,3,11,1,10
network,half,0.5,19,a,4,2,2,0
network,half,0.5,19,a,5,0,0,0
network,half,0.5,19,a,6,0,0,0
network,half,0.5,19,a,7,0,0,0
network,half,0.5,19,a,8,0,0,0
network,half,0.5,19,a,9,0,0,0
network,half,0.5,20,a,0,69,0,69
network,half,0.5,20,a,1,49,6,43
network,half,0.5,20,a,2,26,4,22
network,half,0.5,20,a,3,10,0,10
network,half,0.5,20,a,4,3,0,3
network,half,0.5,20,a,5,0,0,0
network,half,0.5,20,a,6,0,0,0
network,half,0.5,20,a,7,0,0,0
network,half,0.5,20,a,8,0,0,0
network,half,0.5,20,a,9,0,0,0
network,half,0.5,21,a,0,69,0,69
network,half,0.5,21,a,1,34,1,33
network,half,0.5,21,a,2,24,2,22
network,half,0.5,21,a,3,4,0,4
network,half,0.5,21,a,4,2,1,1
network,half,0.5,21,a,5,1,0,1
network,half,0.5,21,a,6,0,0,0
network,half,0.5,21,a,7,0,0,0
network,half,0.5,21,a,8,0,0,0
network,half,0.5,21,a,9,0,0,0
network,half,0.5,22,a,0,69,0,69
network,half,0.5,22,a,1,42,4,38
network,half,0.5,22,a,2,26,3,23
network,half,0.5,22,a,3,12,3,9
network,half,0.5,22,a,4,2,0,2
network,half,0.5,22,a,5,0,0,0
network,half,0.5,22,a,6,0,0,0
network,half,0.5,22,a,7,0,0,0
network,half,0.5,22,a,8,0,0,0
network,half,0.5,22,a,9,0,0,0
network,half,0.5,23,a,0,69,0,69
network,half,0.5,23,a,1,41,4,37
network,half,0.5,23,a,2,25,7,18
network,half,0.5,23,a,3,9,0,9
network,half,0.5,23,a,4,2,0,2
network,half,0.5,23,a,5,0,0,0
network,half,0.5,23,a,6,0,0,0
network,half,0.5,23,a,7,0,0,0
network,half,0.5,23,a,8,0,0,0
network,half,0.5,23,a,9,0,0,0
network,half,0.5,24,a,0,69,0,69
network,half,0.5,24,a,1,33,2,31
network,half,0.5,24,a,2,22,4,18
network,half,0.5,24,a,3,6,1,5
network,half,0.5,24,a,4,3,1,2
network,half,0.5,24,a,5,1,0,1
network,half,0.5,24,a,6,0,0,0
network,half,0.5,24,a,7,0,0,0
network,half,0.5,24,a,8,0,0,0
network,half,0.5,24,a,9,0,0,0
network,half,0.5,25,a,0,69,0,69
network,half,0.5,25,a,1,32,1,31
network,half,0.5,25,a,2,23,3,20
network,half,0.5,25,a,3,9,1,8
network,half,0.5,25,a,4,3,1,2
network,half,0.5,25,a,5,1,0,1
network,half,0.5,25,a,6,1,0,1
network,half,0.5,25,a,7,2,0,2
network,half,0.5,25,a,8,1,0,1
network,half,0.5,25,a,9,1,0,1
network,half,0.5,26,a,0,69,0,69
network,half,0.5,26,a,1,33,4,29
network,half,0.5,26,a,2,25,1,24
network,half,0.5,26,a,3,14,2,12
network,half,0.5,26,a,4,3,0,3
network,half,0.5,26,a,5,1,0,1
network,half,0.5,26,a,6,0,0,0
network,half,0.5,26,a,7,0,0,0
network,half,0.5,26,a,8,0,0,0
network,half,0.5,26,a,9,0,0,0
network,half,0.5,27,a,0,69,0,69
network,half,0.5,27,a,1,41,5,36
network,half,0.5,27,a,2,28,2,26
network,half,0.5,27,a,3,8,0,8
network,half,0.5,27,a,4,2,1,1
network,half,0.5,27,a,5,0,0,0
network,half,0.5,27,a,6,0,0,0
network,half,0.5,27,a,7,0,0,0
network,half,0.5,27,a,8,0,0,0
network,half,0.5,27,a,9,0,0,0
network,half,0.5,28,a,0,69,0,69
network,half,0.5,28,a,1,45,1,44
network,half,0.5,28,a,2,25,2,23
network,half,0.5,28,a,3,6,1,5
network,half,0.5,28,a,4,1,0,1
network,half,0.5,28,a,5,0,0,0
network,half,0.5,28,a,6,0,0,0
network,half,0.5,28,a,7,0,0,0
network,half,0.5,28,a,8,0,0,0
network,half,0.5,28,a,9,0,0,0
network,half,0.5,29,a,0,69,0,69
network,half,0.5,29,a,1,46,1,45
network,half,0.5,29,a,2,26,7,19
network,half,0.5,29,a,3,21,16,5
network,half,0.5,29,a,4,22,22,0
network,half,0.5,29,a,5,44,44,0
network,half,0.5,29,a,6,42,40,2
network,half,0.5,29,a,7,30,28,2
network,half,0.5,29,a,8,6,6,0
network,half,0.5,29,a,9,1,1,0
network,half,0.5,30,a,0,69,0,69
network,half,0.5,30,a,1,39,2,37
network,half,0.5,30,a,2,18,1,17
network,half,0.5,30,a,3,10,2,8
network,half,0.5,30,a,4,6,2,4
network,half,0.5,30,a,5,2,1,1
network,half,0.5,30,a,6,0,0,0
network,half,0.5,30,a,7,0,0,0
network,half,0.5,30,a,8,0,0,0
network,half,0.5,30,a,9,0,0,0
network,half,0.5,31,a,0,69,0,69
network,half,0.5,31,a,1,36,4,32
network,half,0.5,31,a,2,23,1,22
network,half,0.5,31,a,3,7,0,7
network,half,0.5,31,a,4,3,1,2
network,half,0.5,31,a,5,0,0,0
network,half,0.5,31,a,6,0,0,0
network,half,0.5,31,a,7,0,0,0
network,half,0.5,31,a,8,0,0,0
network,half,0.5,31,a,9,0,0,0
network,half,0.5,32,a,0,69,0,69
network,half,0.5,32,a,1,37,1,36
network,half,0.5,32,a,2,19,2,17
network,half,0.5,32,a,3,9,0,9
network,half,0.5,32,a,4,4,1,3
network,half,0.5,32,a,5,4,0,4
network,half,0.5,32,a,6,2,1,1
network,half,0.5,32,a,7,0,0,0
network,half,0.5,32,a,8,0,0,0
network,half,0.5,32,a,9,0,0,0
network,half,0.5,33,a,0,69,0,69
network,half,0.5,33,a,1,36,0,36
network,half,0.5,33,a,2,21,2,19
network,half,0.5,33,a,3,4,1,3
network,half,0.5,33,a,4,0,0,0
network,half,0.5,33,a,5,0,0,0
network,half,0.5,33,a,6,0,0,0
network,half,0.5,33,a,7,0,0,0
network,half,0.5,33,a,8,0,0,0
network,half,0.5,33,a,9,0,0,0
network,half,0.5,34,a,0,69,0,69
network,half,0.5,34,a,1,30,1,29
network,half,0.5,34,a,2,25,1,24
network,half,0.5,34,a,3,15,0,15
network,half,0.5,34,a,4,5,1,4
network,half,0.5,34,a,5,1,1,0
network,half,0.5,34,a,6,0,0,0
network,half,0.5,34,a,7,0,0,0
network,half,0.5,34,a,8,0,0,0
network,half,0.5,34,a,9,0,0,0
network,half,0.5,35,a,0,69,0,69
network,half,0.5,35,a,1,46,4,42
network,half,0.5,35,a,2,27,5,22
network,half,0.5,35,a,3,8,1,7
network,half,0.5,35,a,4,5,1,4
network,half,0.5,35,a,5,0,0,0
network,half,0.5,35,a,6,0,0,0
network,half,0.5,35,a,7,0,0,0
network,half,0.5,35,a,8,0,0,0
network,half,0.5,35,a,9,0,0,0
network,half,0.5,36,a,0,69,0,69
network,half,0.5,36,a,1,33,2,31
network,half,0.5,36,a,2,28,1,27
network,half,0.5,36,a,3,9,0,9
network,half,0.5,36,a,4,0,0,0
network,half,0.5,36,a,5,0,0,0
network,half,0.5,36,a,6,0,0,0
network,half,0.5,36,a,7,0,0,0
network,half,0.5,36,a,8,0,0,0
network,half,0.5,36,a,9,0,0,0
network,half,0.5,37,a,0,69,0,69
network,half,0.5,37,a,1,36,4,32
network,half,0.5,37,a,2,22,1,21
network,half,0.5,37,a,3,11,2,9
network,half,0.5,37,a,4,4,0,4
network,half,0.5,37,a,5,0,0,0
network,half,0.5,37,a,6,0,0,0
network,half,0.5,37,a,7,0,0,0
network,half,0.5,37,a,8,0,0,0
network,half,0.5,37,a,9,0,0,0
network,half,0.5,38,a,0,69,0,69
network,half,0.5,38,a,1,44,5,39
network,half,0.5,38,a,2,29,1,28
network,half,0.5,38,a,3,11,1,10
network,half,0.5,38,a,4,3,1,2
network,half,0.5,38,a,5,0,0,0
network,half,0.5,38,a,6,0,0,0
network,half,0.5,38,a,7,0,0,0
network,half,0.5,38,a,8,0,0,0
network,half,0.5,38,a,9,0,0,0
network,half,0.5,39,a,0,69,0,69
network,half,0.5,39,a,1,48,2,46
network,half,0.5,39,a,2,30,6,24
network,half,0.5,39,a,3,12,5,7
network,half,0.5,39,a,4,4,1,3
network,half,0.5,39,a,5,0,0,0
network,half,0.5,39,a,6,0,0,0
network,half,0.5,39,a,7,0,0,0
network,half,0.5,39,a,8,0,0,0
network,half,0.5,39,a,9,0,0,0
network,half,0.5,40,a,0,69,0,69
network,half,0.5,40,a,1,51,6,45
network,half,0.5,40,a,2,14,1,13
network,half,0.5,40,a,3,4,0,4
network,half,0.5,40,a,4,2,0,2
network,half,0.5,40,a,5,1,0,1
network,half,0.5,40,a,6,0,0,0
network,half,0.5,40,a,7,0,0,0
network,half,0.5,40,a,8,0,0,0
network,half,0.5,40,a,9,0,0,0
network,half,0.5,41,a,0,69,0,69
network,half,0.5,41,a,1,36,2,34
network,half,0.5,41,a,2,29,1,28
network,half,0.5,41,a,3,10,2,8
network,half,0.5,41,a,4,2,2,0
network,half,0.5,41,a,5,1,1,0
network,half,0.5,41,a,6,0,0,0
network,half,0.5,41,a,7,0,0,0
network,half,0.5,41,a,8,0,0,0
network,half,0.5,41,a,9,0,0,0
network,half,0.5,42,a,0,69,0,69
network,half,0.5,42,a,1,28,2,26
network,half,0.5,42,a,2,14,0,14
network,half,0.5,42,a,3,8,0,8
network,half,0.5,42,a,4,1,0,1
network,half,0.5,42,a,5,2,0,2
network,half,0.5,42,a,6,1,0,1
network,half,0.5,42,a,7,1,0,1
network,half,0.5,42,a,8,1,0,1
network,half,0.5,42,a,9,0,0,0
network,half,0.5,43,a,0,69,0,69
network,half,0.5,43,a,1,36,0,36
network,half,0.5,43,a,2,21,2,19
network,half,0.5,43,a,3,10,0,10
network,half,0.5,43,a,4,3,0,3
network,half,0.5,43,a,5,2,0,2
network,half,0.5,43,a,6,1,0,1
network,half,0.5,43,a,7,0,0,0
network,half,0.5,43,a,8,0,0,0
network,half,0.5,43,a,9,0,0,0
network,half,0.5,44,a,0,69,0,69
network,half,0.5,44,a,1,34,1,33
network,half,0.5,44,a,2,18,1,17
network,half,0.5,44,a,3,5,0,5
network,half,0.5,44,a,4,4,0,4
network,half,0.5,44,a,5,0,0,0
network,half,0.5,44,a,6,0,0,0
network,half,0.5,44,a,7,0,0,0
network,half,0.5,44,a,8,0,0,0
network,half,0.5,44,a,9,0,0,0
network,half,0.5,45,a,0,69,0,69
network,half,0.5,45,a,1,35,0,35
network,half,0.5,45,a,2,23,3,20
network,half,0.5,45,a,3,6,0,6
network,half,0.5,45,a,4,3,1,2
network,half,0.5,45,a,5,2,1,1
network,half,0.5,45,a,6,0,0,0
network,half,0.5,45,a,7,0,0,0
network,half,0.5,45,a,8,0,0,0
network,half,0.5,45,a,9,0,0,0
network,half,0.5,46,a,0,69,0,69
network,half,0.5,46,a,1,37,0,37
network,half,0.5,46,a,2,28,2,26
network,half,0.5,46,a,3,10,4,6
network,half,0.5,46,a,4,1,1,0
network,half,0.5,46,a,5,0,0,0
network,half,0.5,46,a,6,0,0,0
network,half,0.5,46,a,7,0,0,0
network,half,0.5,46,a,8,0,0,0
network,half,0.5,46,a,9,0,0,0
network,half,0.5,47,a,0,69,0,69
network,half,0.5,47,a,1,38,0,38
network,half,0.5,47,a,2,17,2,15
network,half,0.5,47,a,3,7,2,5
network,half,0.5,47,a,4,3,3,0
network,half,0.5,47,a,5,1,1,0
network,half,0.5,47,a,6,0,0,0
network,half,0.5,47,a,7,0,0,0
network,half,0.5,47,a,8,0,0,0
network,half,0.5,47,a,9,0,0,0
network,half,0.5,48,a,0,69,0,69
network,half,0.5,48,a,1,31,2,29
network,half,0.5,48,a,2,28,4,24
network,half,0.5,48,a,3,9,2,7
network,half,0.5,48,a,4,2,0,2
network,half,0.5,48,a,5,1,1,0
network,half,0.5,48,a,6,0,0,0
network,half,0.5,48,a,7,0,0,0
network,half,0.5,48,a,8,0,0,0
