Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,fair,0.7459743804762068,10,a,6,0,0,0
network,fair,0.7459743804762068,10,a,7,0,0,0
network,fair,0.7459743804762068,10,a,8,0,0,0
network,fair,0.7459743804762068,10,a,9,0,0,0
network,fair,0.7459743804762068,11,a,0,69,0,69
network,fair,0.7459743804762068,11,a,1,42,4,38
network,fair,0.7459743804762068,11,a,2,23,1,22
network,fair,0.7459743804762068,11,a,3,6,0,6
network,fair,0.7459743804762068,11,a,4,0,0,0
network,fair,0.7459743804762068,11,a,5,0,0,0
network,fair,0.7459743804762068,11,a,6,0,0,0
network,fair,0.7459743804762068,11,a,7,0,0,0
network,fair,0.7459743804762068,11,a,8,0,0,0
network,fair,0.7459743804762068,11,a,9,0,0,0
network,fair,0.7459743804762068,12,a,0,69,0,69
network,fair,0.7459743804762068,12,a,1,37,0,37
network,fair,0.7459743804762068,12,a,2,17,4,13
network,fair,0.7459743804762068,12,a,3,2,1,1
network,fair,0.7459743804762068,12,a,4,0,0,0
network,fair,0.7459743804762068,12,a,5,0,0,0
network,fair,0.7459743804762068,12,a,6,0,0,0
network,fair,0.7459743804762068,12,a,7,0,0,0
network,fair,0.7459743804762068,12,a,8,0,0,0
network,fair,0.7459743804762068,12,a,9,0,0,0
network,fair,0.7459743804762068,13,a,0,69,0,69
network,fair,0.7459743804762068,13,a,1,42,3,39
network,fair,0.7459743804762068,13,a,2,19,2,17
network,fair,0.7459743804762068,13,a,3,6,1,5
network,fair,0.7459743804762068,13,a,4,1,0,1
network,fair,0.7459743804762068,13,a,5,0,0,0
network,fair,0.7459743804762068,13,a,6,0,0,0
network,fair,0.7459743804762068,13,a,7,0,0,0
network,fair,0.7459743804762068,13,a,8,0,0,0
network,fair,0.7459743804762068,13,a,9,0,0,0
network,fair,0.7459743804762068,14,a,0,69,0,69
network,fair,0.7459743804762068,14,a,1,44,2,42
network,fair,0.7459743804762068,14,a,2,18,0,18
network,fair,0.7459743804762068,14,a,3,11,4,7
network,fair,0.7459743804762068,14,a,4,1,0,1
network,fair,0.7459743804762068,14,a,5,0,0,0
network,fair,0.7459743804762068,14,a,6,0,0,0
network,fair,0.7459743804762068,14,a,7,0,0,0
network,fair,0.7459743804762068,14,a,8,0,0,0
network,fair,0.7459743804762068,14,a,9,0,0,0
network,fair,0.7459743804762068,15,a,0,69,0,69
network,fair,0.7459743804762068,15,a,1,52,5,47
network,fair,0.7459743804762068,15,a,2,19,2,17
network,fair,0.7459743804762068,15,a,3,7,3,4
network,fair,0.7459743804762068,15,a,4,3,1,2
network,fair,0.7459743804762068,15,a,5,1,0,1
network,fair,0.7459743804762068,15,a,6,0,0,0
network,fair,0.7459743804762068,15,a,7,0,0,0
network,fair,0.7459743804762068,15,a,8,0,0,0
network,fair,0.7459743804762068,15,a,9,0,0,0
network,fair,0.7459743804762068,16,a,0,69,0,69
network,fair,0.7459743804762068,16,a,1,41,7,34
network,fair,0.7459743804762068,16,a,2,18,6,12
network,fair,0.7459743804762068,16,a,3,11,4,7
network,fair,0.7459743804762068,16,a,4,3,0,3
network,fair,0.7459743804762068,16,a,5,1,0,1
network,fair,0.7459743804762068,16,a,6,1,0,1
network,fair,0.7459743804762068,16,a,7,1,0,1
network,fair,0.7459743804762068,16,a,8,0,0,0
network,fair,0.7459743804762068,16,a,9,0,0,0
network,fair,0.7459743804762068,17,a,0,69,0,69
network,fair,0.7459743804762068,17,a,1,47,2,45
network,fair,0.7459743804762068,17,a,2,14,3,11
network,fair,0.7459743804762068,17,a,3,3,0,3
network,fair,0.7459743804762068,17,a,4,0,0,0
network,fair,0.7459743804762068,17,a,5,0,0,0
network,fair,0.7459743804762068,17,a,6,0,0,0
network,fair,0.7459743804762068,17,a,7,0,0,0
network,fair,0.7459743804762068,17,a,8,0,0,0
network,fair,0.7459743804762068,17,a,9,0,0,0
network,fair,0.7459743804762068,18,a,0,69,0,69
network,fair,0.7459743804762068,18,a,1,41,2,39
network,fair,0.7459743804762068,18,a,2,16,0,16
network,fair,0.7459743804762068,18,a,3,2,1,1
network,fair,0.7459743804762068,18,a,4,0,0,0
network,fair,0.7459743804762068,18,a,5,0,0,0
network,fair,0.7459743804762068,18,a,6,0,0,0
network,fair,0.7459743804762068,18,a,7,0,0,0
network,fair,0.7459743804762068,18,a,8,0,0,0
network,fair,0.7459743804762068,18,a,9,0,0,0
network,fair,0.7459743804762068,19,a,0,69,0,69
network,fair,0.7459743804762068,19,a,1,44,5,39
network,fair,0.7459743804762068,19,a,2,20,4,16
network,fair,0.7459743804762068,19,a,3,7,0,7
network,fair,0.7459743804762068,19,a,4,6,1,5
network,fair,0.7459743804762068,19,a,5,1,0,1
network,fair,0.7459743804762068,19,a,6,1,0,1
network,fair,0.7459743804762068,19,a,7,0,0,0
network,fair,0.7459743804762068,19,a,8,0,0,0
network,fair,0.7459743804762068,19,a,9,0,0,0
network,fair,0.7459743804762068,20,a,0,69,0,69
network,fair,0.7459743804762068,20,a,1,45,3,42
network,fair,0.7459743804762068,20,a,2,25,3,22
network,fair,0.7459743804762068,20,a,3,5,1,4
network,fair,0.7459743804762068,20,a,4,0,0,0
network,fair,0.7459743804762068,20,a,5,0,0,0
network,fair,0.7459743804762068,20,a,6,0,0,0
network,fair,0.7459743804762068,20,a,7,0,0,0
network,fair,0.7459743804762068,20,a,8,0,0,0
network,fair,0.7459743804762068,20,a,9,0,0,0
network,fair,0.7459743804762068,21,a,0,69,0,69
network,fair,0.7459743804762068,21,a,1,33,1,32
network,fair,0.7459743804762068,21,a,2,17,2,15
network,fair,0.7459743804762068,21,a,3,6,1,5
network,fair,0.7459743804762068,21,a,4,1,1,0
network,fair,0.7459743804762068,21,a,5,0,0,0
network,fair,0.7459743804762068,21,a,6,0,0,0
network,fair,0.7459743804762068,21,a,7,0,0,0
network,fair,0.7459743804762068,21,a,8,0,0,0
network,fair,0.7459743804762068,21,a,9,0,0,0
network,fair,0.7459743804762068,22,a,0,69,0,69
network,fair,0.7459743804762068,22,a,1,45,5,40
network,fair,0.7459743804762068,22,a,2,26,6,20
network,fair,0.7459743804762068,22,a,3,7,2,5
network,fair,0.7459743804762068,22,a,4,0,0,0
network,fair,0.7459743804762068,22,a,5,0,0,0
network,fair,0.7459743804762068,22,a,6,0,0,0
network,fair,0.7459743804762068,22,a,7,0,0,0
network,fair,0.7459743804762068,22,a,8,0,0,0
network,fair,0.7459743804762068,22,a,9,0,0,0
network,fair,0.7459743804762068,23,a,0,69,0,69
network,fair,0.7459743804762068,23,a,1,45,3,42
network,fair,0.7459743804762068,23,a,2,14,1,13
network,fair,0.7459743804762068,23,a,3,9,1,8
network,fair,0.7459743804762068,23,a,4,1,1,0
network,fair,0.7459743804762068,23,a,5,2,2,0
network,fair,0.7459743804762068,23,a,6,0,0,0
network,fair,0.7459743804762068,23,a,7,0,0,0
network,fair,0.7459743804762068,23,a,8,0,0,0
network,fair,0.7459743804762068,23,a,9,0,0,0
network,fair,0.7459743804762068,24,a,0,69,0,69
network,fair,0.7459743804762068,24,a,1,38,5,33
network,fair,0.7459743804762068,24,a,2,17,2,15
network,fair,0.7459743804762068,24,a,3,5,1,4
network,fair,0.7459743804762068,24,a,4,2,1,1
network,fair,0.7459743804762068,24,a,5,0,0,0
network,fair,0.7459743804762068,24,a,6,0,0,0
network,fair,0.7459743804762068,24,a,7,0,0,0
network,fair,0.7459743804762068,24,a,8,0,0,0
network,fair,0.7459743804762068,24,a,9,0,0,0
network,fair,0.7459743804762068,25,a,0,69,0,69
network,fair,0.7459743804762068,25,a,1,39,3,36
network,fair,0.7459743804762068,25,a,2,18,1,17
network,fair,0.7459743804762068,25,a,3,11,2,9
network,fair,0.7459743804762068,25,a,4,2,0,2
network,fair,0.7459743804762068,25,a,5,2,0,2
network,fair,0.7459743804762068,25,a,6,0,0,0
network,fair,0.7459743804762068,25,a,7,0,0,0
network,fair,0.7459743804762068,25,a,8,0,0,0
network,fair,0.7459743804762068,25,a,9,0,0,0
network,fair,0.7459743804762068,26,a,0,69,0,69
network,fair,0.7459743804762068,26,a,1,42,3,39
network,fair,0.7459743804762068,26,a,2,16,1,15
network,fair,0.7459743804762068,26,a,3,3,0,3
network,fair,0.7459743804762068,26,a,4,5,2,3
network,fair,0.7459743804762068,26,a,5,0,0,0
network,fair,0.7459743804762068,26,a,6,0,0,0
network,fair,0.7459743804762068,26,a,7,0,0,0
network,fair,0.7459743804762068,26,a,8,0,0,0
network,fair,0.7459743804762068,26,a,9,0,0,0
network,fair,0.7459743804762068,27,a,0,69,0,69
network,fair,0.7459743804762068,27,a,1,46,1,45
network,fair,0.7459743804762068,27,a,2,24,2,22
network,fair,0.7459743804762068,27,a,3,7,0,7
network,fair,0.7459743804762068,27,a,4,0,0,0
network,fair,0.7459743804762068,27,a,5,0,0,0
network,fair,0.7459743804762068,27,a,6,0,0,0
network,fair,0.7459743804762068,27,a,7,0,0,0
network,fair,0.7459743804762068,27,a,8,0,0,0
network,fair,0.7459743804762068,27,a,9,0,0,0
network,fair,0.7459743804762068,28,a,0,69,0,69
network,fair,0.7459743804762068,28,a,1,50,6,44
network,fair,0.7459743804762068,28,a,2,22,7,15
network,fair,0.7459743804762068,28,a,3,24,16,8
network,fair,0.7459743804762068,28,a,4,38,36,2
network,fair,0.7459743804762068,28,a,5,53,51,2
network,fair,0.7459743804762068,28,a,6,39,36,3
network,fair,0.7459743804762068,28,a,7,9,8,1
network,fair,0.7459743804762068,28,a,8,2,2,0
network,fair,0.7459743804762068,28,a,9,3,3,0
network,fair,0.7459743804762068,29,a,0,69,0,69
network,fair,0.7459743804762068,29,a,1,45,3,42
network,fair,0.7459743804762068,29,a,2,11,0,11
network,fair,0.7459743804762068,29,a,3,4,0,4
network,fair,0.7459743804762068,29,a,4,3,0,3
network,fair,0.7459743804762068,29,a,5,1,0,1
network,fair,0.7459743804762068,29,a,6,0,0,0
network,fair,0.7459743804762068,29,a,7,0,0,0
network,fair,0.7459743804762068,29,a,8,0,0,0
network,fair,0.7459743804762068,29,a,9,0,0,0
network,fair,0.7459743804762068,30,a,0,69,0,69
network,fair,0.7459743804762068,30,a,1,46,5,41
network,fair,0.7459743804762068,30,a,2,28,4,24
network,fair,0.7459743804762068,30,a,3,6,4,2
network,fair,0.7459743804762068,30,a,4,0,0,0
network,fair,0.7459743804762068,30,a,5,0,0,0
network,fair,0.7459743804762068,30,a,6,0,0,0
network,fair,0.7459743804762068,30,a,7,0,0,0
network,fair,0.7459743804762068,30,a,8,0,0,0
network,fair,0.7459743804762068,30,a,9,0,0,0
network,fair,0.7459743804762068,31,a,0,69,0,69
network,fair,0.7459743804762068,31,a,1,55,4,51
network,fair,0.7459743804762068,31,a,2,16,1,15
network,fair,0.7459743804762068,31,a,3,2,0,2
network,fair,0.7459743804762068,31,a,4,1,1,0
network,fair,0.7459743804762068,31,a,5,0,0,0
network,fair,0.7459743804762068,31,a,6,0,0,0
network,fair,0.7459743804762068,31,a,7,0,0,0
network,fair,0.7459743804762068,31,a,8,0,0,0
network,fair,0.7459743804762068,31,a,9,0,0,0
network,fair,0.7459743804762068,32,a,0,69,0,69
network,fair,0.7459743804762068,32,a,1,43,3,40
network,fair,0.7459743804762068,32,a,2,24,4,20
network,fair,0.7459743804762068,32,a,3,6,0,6
