Exposure,Theta_A,Seed,Article,t,N,B,A
fair,0.7459743804762068,11,a,5,0,0,0
fair,0.7459743804762068,11,a,6,0,0,0
fair,0.7459743804762068,11,a,7,0,0,0
fair,0.7459743804762068,11,a,8,0,0,0
fair,0.7459743804762068,11,a,9,0,0,0
fair,0.7459743804762068,12,a,0,69,0,69
fair,0.7459743804762068,12,a,1,2,0,2
fair,0.7459743804762068,12,a,2,0,0,0
fair,0.7459743804762068,12,a,3,0,0,0
fair,0.7459743804762068,12,a,4,0,0,0
fair,0.7459743804762068,12,a,5,0,0,0
fair,0.7459743804762068,12,a,6,0,0,0
fair,0.7459743804762068,12,a,7,0,0,0
fair,0.7459743804762068,12,a,8,0,0,0
fair,0.7459743804762068,12,a,9,0,0,0
fair,0.7459743804762068,13,a,0,69,0,69
fair,0.7459743804762068,13,a,1,3,0,3
fair,0.7459743804762068,13,a,2,0,0,0
fair,0.7459743804762068,13,a,3,0,0,0
fair,0.7459743804762068,13,a,4,0,0,0
fair,0.7459743804762068,13,a,5,0,0,0
fair,0.7459743804762068,13,a,6,0,0,0
fair,0.7459743804762068,13,a,7,0,0,0
fair,0.7459743804762068,13,a,8,0,0,0
fair,0.7459743804762068,13,a,9,0,0,0
fair,0.7459743804762068,14,a,0,69,0,69
fair,0.7459743804762068,14,a,1,1,0,1
fair,0.7459743804762068,14,a,2,0,0,0
fair,0.7459743804762068,14,a,3,0,0,0
fair,0.7459743804762068,14,a,4,0,0,0
fair,0.7459743804762068,14,a,5,0,0,0
fair,0.7459743804762068,14,a,6,0,0,0
fair,0.7459743804762068,14,a,7,0,0,0
fair,0.7459743804762068,14,a,8,0,0,0
fair,0.7459743804762068,14,a,9,0,0,0
fair,0.7459743804762068,15,a,0,69,0,69
fair,0.7459743804762068,15,a,1,3,0,3
fair,0.7459743804762068,15,a,2,0,0,0
fair,0.7459743804762068,15,a,3,0,0,0
fair,0.7459743804762068,15,a,4,0,0,0
fair,0.7459743804762068,15,a,5,0,0,0
fair,0.7459743804762068,15,a,6,0,0,0
fair,0.7459743804762068,15,a,7,0,0,0
fair,0.7459743804762068,15,a,8,0,0,0
fair,0.7459743804762068,15,a,9,0,0,0
fair,0.7459743804762068,16,a,0,69,0,69
fair,0.7459743804762068,16,a,1,2,0,2
fair,0.7459743804762068,16,a,2,0,0,0
fair,0.7459743804762068,16,a,3,0,0,0
fair,0.7459743804762068,16,a,4,0,0,0
fair,0.7459743804762068,16,a,5,0,0,0
fair,0.7459743804762068,16,a,6,0,0,0
fair,0.7459743804762068,16,a,7,0,0,0
fair,0.7459743804762068,16,a,8,0,0,0
fair,0.7459743804762068,16,a,9,0,0,0
fair,0.7459743804762068,17,a,0,69,0,69
fair,0.7459743804762068,17,a,1,2,1,1
fair,0.7459743804762068,17,a,2,0,0,0
fair,0.7459743804762068,17,a,3,0,0,0
fair,0.7459743804762068,17,a,4,0,0,0
fair,0.7459743804762068,17,a,5,0,0,0
fair,0.7459743804762068,17,a,6,0,0,0
fair,0.7459743804762068,17,a,7,0,0,0
fair,0.7459743804762068,17,a,8,0,0,0
fair,0.7459743804762068,17,a,9,0,0,0
fair,0.7459743804762068,18,a,0,69,0,69
fair,0.7459743804762068,18,a,1,2,0,2
fair,0.7459743804762068,18,a,2,0,0,0
fair,0.7459743804762068,18,a,3,0,0,0
fair,0.7459743804762068,18,a,4,0,0,0
fair,0.7459743804762068,18,a,5,0,0,0
fair,0.7459743804762068,18,a,6,0,0,0
fair,0.7459743804762068,18,a,7,0,0,0
fair,0.7459743804762068,18,a,8,0,0,0
fair,0.7459743804762068,18,a,9,0,0,0
fair,0.7459743804762068,19,a,0,69,0,69
fair,0.7459743804762068,19,a,1,4,0,4
fair,0.7459743804762068,19,a,2,0,0,0
fair,0.7459743804762068,19,a,3,0,0,0
fair,0.7459743804762068,19,a,4,0,0,0
fair,0.7459743804762068,19,a,5,0,0,0
fair,0.7459743804762068,19,a,6,0,0,0
fair,0.7459743804762068,19,a,7,0,0,0
fair,0.7459743804762068,19,a,8,0,0,0
fair,0.7459743804762068,19,a,9,0,0,0
fair,0.7459743804762068,20,a,0,69,0,69
fair,0.7459743804762068,20,a,1,1,0,1
fair,0.7459743804762068,20,a,2,0,0,0
fair,0.7459743804762068,20,a,3,0,0,0
fair,0.7459743804762068,20,a,4,0,0,0
fair,0.7459743804762068,20,a,5,0,0,0
fair,0.7459743804762068,20,a,6,0,0,0
fair,0.7459743804762068,20,a,7,0,0,0
fair,0.7459743804762068,20,a,8,0,0,0
fair,0.7459743804762068,20,a,9,0,0,0
fair,0.7459743804762068,21,a,0,69,0,69
fair,0.7459743804762068,21,a,1,3,1,2
fair,0.7459743804762068,21,a,2,0,0,0
fair,0.7459743804762068,21,a,3,0,0,0
fair,0.7459743804762068,21,a,4,0,0,0
fair,0.7459743804762068,21,a,5,0,0,0
fair,0.7459743804762068,21,a,6,0,0,0
fair,0.7459743804762068,21,a,7,0,0,0
fair,0.7459743804762068,21,a,8,0,0,0
fair,0.7459743804762068,21,a,9,0,0,0
fair,0.7459743804762068,22,a,0,69,0,69
fair,0.7459743804762068,22,a,1,2,0,2
fair,0.7459743804762068,22,a,2,0,0,0
fair,0.7459743804762068,22,a,3,0,0,0
fair,0.7459743804762068,22,a,4,0,0,0
fair,0.7459743804762068,22,a,5,0,0,0
fair,0.7459743804762068,22,a,6,0,0,0
fair,0.7459743804762068,22,a,7,0,0,0
fair,0.7459743804762068,22,a,8,0,0,0
fair,0.7459743804762068,22,a,9,0,0,0
fair,0.7459743804762068,23,a,0,69,0,69
fair,0.7459743804762068,23,a,1,2,0,2
fair,0.7459743804762068,23,a,2,0,0,0
fair,0.7459743804762068,23,a,3,0,0,0
fair,0.7459743804762068,23,a,4,0,0,0
fair,0.7459743804762068,23,a,5,0,0,0
fair,0.7459743804762068,23,a,6,0,0,0
fair,0.7459743804762068,23,a,7,0,0,0
fair,0.7459743804762068,23,a,8,0,0,0
fair,0.7459743804762068,23,a,9,0,0,0
fair,0.7459743804762068,24,a,0,69,0,69
fair,0.7459743804762068,24,a,1,2,1,1
fair,0.7459743804762068,24,a,2,0,0,0
fair,0.7459743804762068,24,a,3,0,0,0
fair,0.7459743804762068,24,a,4,0,0,0
fair,0.7459743804762068,24,a,5,0,0,0
fair,0.7459743804762068,24,a,6,0,0,0
fair,0.7459743804762068,24,a,7,0,0,0
fair,0.7459743804762068,24,a,8,0,0,0
fair,0.7459743804762068,24,a,9,0,0,0
fair,0.7459743804762068,25,a,0,69,0,69
fair,0.7459743804762068,25,a,1,1,0,1
fair,0.7459743804762068,25,a,2,0,0,0
fair,0.7459743804762068,25,a,3,0,0,0
fair,0.7459743804762068,25,a,4,0,0,0
fair,0.7459743804762068,25,a,5,0,0,0
fair,0.7459743804762068,25,a,6,0,0,0
fair,0.7459743804762068,25,a,7,0,0,0
fair,0.7459743804762068,25,a,8,0,0,0
fair,0.7459743804762068,25,a,9,0,0,0
fair,0.7459743804762068,26,a,0,69,0,69
fair,0.7459743804762068,26,a,1,6,0,6
fair,0.7459743804762068,26,a,2,0,0,0
fair,0.7459743804762068,26,a,3,0,0,0
fair,0.7459743804762068,26,a,4,0,0,0
fair,0.7459743804762068,26,a,5,0,0,0
fair,0.7459743804762068,26,a,6,0,0,0
fair,0.7459743804762068,26,a,7,0,0,0
fair,0.7459743804762068,26,a,8,0,0,0
fair,0.7459743804762068,26,a,9,0,0,0
fair,0.7459743804762068,27,a,0,69,0,69
fair,0.7459743804762068,27,a,1,1,0,1
fair,0.7459743804762068,27,a,2,0,0,0
fair,0.7459743804762068,27,a,3,0,0,0
fair,0.7459743804762068,27,a,4,0,0,0
fair,0.7459743804762068,27,a,5,0,0,0
fair,0.7459743804762068,27,a,6,0,0,0
fair,0.7459743804762068,27,a,7,0,0,0
fair,0.7459743804762068,27,a,8,0,0,0
fair,0.7459743804762068,27,a,9,0,0,0
fair,0.7459743804762068,28,a,0,69,0,69
fair,0.7459743804762068,28,a,1,3,1,2
fair,0.7459743804762068,28,a,2,1,0,1
fair,0.7459743804762068,28,a,3,0,0,0
fair,0.7459743804762068,28,a,4,0,0,0
fair,0.7459743804762068,28,a,5,0,0,0
fair,0.7459743804762068,28,a,6,0,0,0
fair,0.7459743804762068,28,a,7,0,0,0
fair,0.7459743804762068,28,a,8,0,0,0
fair,0.7459743804762068,28,a,9,0,0,0
fair,0.7459743804762068,29,a,0,69,0,69
fair,0.7459743804762068,29,a,1,3,1,2
fair,0.7459743804762068,29,a,2,0,0,0
fair,0.7459743804762068,29,a,3,0,0,0
fair,0.7459743804762068,29,a,4,0,0,0
fair,0.7459743804762068,29,a,5,0,0,0
fair,0.7459743804762068,29,a,6,0,0,0
fair,0.7459743804762068,29,a,7,0,0,0
fair,0.7459743804762068,29,a,8,0,0,0
fair,0.7459743804762068,29,a,9,0,0,0
fair,0.7459743804762068,30,a,0,69,0,69
fair,0.7459743804762068,30,a,1,2,0,2
fair,0.7459743804762068,30,a,2,0,0,0
fair,0.7459743804762068,30,a,3,0,0,0
fair,0.7459743804762068,30,a,4,0,0,0
fair,0.7459743804762068,30,a,5,0,0,0
fair,0.7459743804762068,30,a,6,0,0,0
fair,0.7459743804762068,30,a,7,0,0,0
fair,0.7459743804762068,30,a,8,0,0,0
fair,0.7459743804762068,30,a,9,0,0,0
fair,0.7459743804762068,31,a,0,69,0,69
fair,0.7459743804762068,31,a,1,2,1,1
fair,0.7459743804762068,31,a,2,0,0,0
fair,0.7459743804762068,31,a,3,0,0,0
fair,0.7459743804762068,31,a,4,0,0,0
fair,0.7459743804762068,31,a,5,0,0,0
fair,0.7459743804762068,31,a,6,0,0,0
fair,0.7459743804762068,31,a,7,0,0,0
fair,0.7459743804762068,31,a,8,0,0,0
fair,0.7459743804762068,31,a,9,0,0,0
fair,0.7459743804762068,32,a,0,69,0,69
fair,0.7459743804762068,32,a,1,2,0,2
fair,0.7459743804762068,32,a,2,0,0,0
fair,0.7459743804762068,32,a,3,0,0,0
fair,0.7459743804762068,32,a,4,0,0,0
fair,0.7459743804762068,32,a,5,0,0,0
fair,0.7459743804762068,32,a,6,0,0,0
fair,0.7459743804762068,32,a,7,0,0,0
fair,0.7459743804762068,32,a,8,0,0,0
fair,0.7459743804762068,32,a,9,0,0,0
fair,0.7459743804762068,33,a,0,69,0,69
fair,0.7459743804762068,33,a,1,2,0,2
fair,0.7459743804762068,33,a,2,0,0,0
fair,0.7459743804762068,33,a,3,0,0,0
fair,0.7459743804762068,33,a,4,0,0,0
fair,0.7459743804762068,33,a,5,0,0,0
fair,0.7459743804762068,33,a,6,0,0,0
fair,0.7459743804762068,33,a,7,0,0,0
fair,0.7459743804762068,33,a,8,0,0,0
fair,0.7459743804762068,33,a,9,0,0,0
fair,0.7459743804762068,34,a,0,69,0,69
fair,0.7459743804762068,34,a,1,7,0,7
fair,0.7459743804762068,34,a,2,0,0,0
fair,0.7459743804762068,34,a,3,0,0,0
fair,0.7459743804762068,34,a,4,0,0,0
fair,0.7459743804762068,34,a,5,0,0,0
fair,0.7459743804762068,34,a,6,0,0,0
fair,0.7459743804762068,34,a,7,0,0,0
fair,0.7459743804762068,34,a,8,0,0,0
fair,0.7459743804762068,34,a,9,0,0,0
fair,0.7459743804762068,35,a,0,69,0,69
fair,0.7459743804762068,35,a,1,2,0,2
fair,0.7459743804762068,35,a,2,0,0,0
fair,0.7459743804762068,35,a,3,0,0,0
fair,0.7459743804762068,35,a,4,0,0,0
fair,0.7459743804762068,35,a,5,0,0,0
fair,0.7459743804762068,35,a,6,0,0,0
fair,0.7459743804762068,35,a,7,0,0,0
fair,0.7459743804762068,35,a,8,0,0,0
fair,0.7459743804762068,35,a,9,0,0,0
fair,0.7459743804762068,36,a,0,69,0,69
fair,0.7459743804762068,36,a,1,7,0,7
fair,0.7459743804762068,36,a,2,0,0,0
fair,0.7459743804762068,36,a,3,0,0,0
fair,0.7459743804762068,36,a,4,0,0,0
fair,0.7459743804762068,36,a,5,0,0,0
fair,0.7459743804762068,36,a,6,0,0,0
fair,0.7459743804762068,36,a,7,0,0,0
fair,0.7459743804762068,36,a,8,0,0,0
fair,0.7459743804762068,36,a,9,0,0,0
fair,0.7459743804762068,37,a,0,69,0,69
fair,0.7459743804762068,37,a,1,3,1,2
fair,0.7459743804762068,37,a,2,1,0,1
fair,0.7459743804762068,37,a,3,0,0,0
fair,0.7459743804762068,37,a,4,0,0,0
fair,0.7459743804762068,37,a,5,0,0,0
fair,0.7459743804762068,37,a,6,0,0,0
fair,0.7459743804762068,37,a,7,0,0,0
fair,0.7459743804762068,37,a,8,0,0,0
fair,0.7459743804762068,37,a,9,0,0,0
fair,0.7459743804762068,38,a,0,69,0,69
fair,0.7459743804762068,38,a,1,3,0,3
fair,0.7459743804762068,38,a,2,0,0,0
fair,0.7459743804762068,38,a,3,0,0,0
fair,0.7459743804762068,38,a,4,0,0,0
fair,0.7459743804762068,38,a,5,0,0,0
fair,0.7459743804762068,38,a,6,0,0,0
fair,0.7459743804762068,38,a,7,0,0,0
fair,0.7459743804762068,38,a,8,0,0,0
fair,0.7459743804762068,38,a,9,0,0,0
fair,0.7459743804762068,39,a,0,69,0,69
fair,0.7459743804762068,39,a,1,4,1,3
fair,0.7459743804762068,39,a,2,0,0,0
fair,0.7459743804762068,39,a,3,0,0,0
fair,0.7459743804762068,39,a,4,0,0,0
fair,0.7459743804762068,39,a,5,0,0,0
fair,0.7459743804762068,39,a,6,0,0,0
fair,0.7459743804762068,39,a,7,0,0,0
fair,0.7459743804762068,39,a,8,0,0,0
fair,0.7459743804762068,39,a,9,0,0,0
fair,0.7459743804762068,40,a,0,69,0,69
fair,0.7459743804762068,40,a,1,2,0,2
fair,0.7459743804762068,40,a,2,0,0,0
fair,0.7459743804762068,40,a,3,0,0,0
fair,0.7459743804762068,40,a,4,0,0,0
fair,0.7459743804762068,40,a,5,0,0,0
fair,0.7459743804762068,40,a,6,0,0,0
fair,0.7459743804762068,40,a,7,0,0,0
fair,0.7459743804762068,40,a,8,0,0,0
fair,0.7459743804762068,40,a,9,0,0,0
fair,0.7459743804762068,41,a,0,69,0,69
fair,0.7459743804762068,41,a,1,1,0,1
fair,0.7459743804762068,41,a,2,0,0,0
fair,0.7459743804762068,41,a,3,0,0,0
fair,0.7459743804762068,41,a,4,0,0,0
fair,0.7459743804762068,41,a,5,0,0,0
fair,0.7459743804762068,41,a,6,0,0,0
fair,0.7459743804762068,41,a,7,0,0,0
fair,0.7459743804762068,41,a,8,0,0,0
fair,0.7459743804762068,41,a,9,0,0,0
fair,0.7459743804762068,42,a,0,69,0,69
fair,0.7459743804762068,42,a,1,1,0,1
fair,0.7459743804762068,42,a,2,0,0,0
fair,0.7459743804762068,42,a,3,0,0,0
fair,0.7459743804762068,42,a,4,0,0,0
fair,0.7459743804762068,42,a,5,0,0,0
fair,0.7459743804762068,42,a,6,0,0,0
fair,0.7459743804762068,42,a,7,0,0,0
fair,0.7459743804762068,42,a,8,0,0,0
fair,0.7459743804762068,42,a,9,0,0,0
fair,0.7459743804762068,43,a,0,69,0,69
fair,0.7459743804762068,43,a,1,3,0,3
fair,0.7459743804762068,43,a,2,0,0,0
fair,0.7459743804762068,43,a,3,0,0,0
fair,0.7459743804762068,43,a,4,0,0,0
fair,0.7459743804762068,43,a,5,0,0,0
fair,0.7459743804762068,43,a,6,0,0,0
fair,0.7459743804762068,43,a,7,0,0,0
fair,0.7459743804762068,43,a,8,0,0,0
fair,0.7459743804762068,43,a,9,0,0,0
fair,0.7459743804762068,44,a,0,69,0,69
fair,0.7459743804762068,44,a,1,1,0,1
fair,0.7459743804762068,44,a,2,0,0,0
fair,0.7459743804762068,44,a,3,0,0,0
fair,0.7459743804762068,44,a,4,0,0,0
fair,0.7459743804762068,44,a,5,0,0,0
fair,0.7459743804762068,44,a,6,0,0,0
fair,0.7459743804762068,44,a,7,0,0,0
fair,0.7459743804762068,44,a,8,0,0,0
fair,0.7459743804762068,44,a,9,0,0,0
fair,0.7459743804762068,45,a,0,69,0,69
fair,0.7459743804762068,45,a,1,3,0,3
fair,0.7459743804762068,45,a,2,0,0,0
fair,0.7459743804762068,45,a,3,0,0,0
fair,0.7459743804762068,45,a,4,0,0,0
fair,0.7459743804762068,45,a,5,0,0,0
fair,0.7459743804762068,45,a,6,0,0,0
fair,0.7459743804762068,45,a,7,0,0,0
fair,0.7459743804762068,45,a,8,0,0,0
fair,0.7459743804762068,45,a,9,0,0,0
fair,0.7459743804762068,46,a,0,69,0,69
fair,0.7459743804762068,46,a,1,0,0,0
fair,0.7459743804762068,46,a,2,0,0,0
fair,0.7459743804762068,46,a,3,0,0,0
fair,0.7459743804762068,46,a,4,0,0,0
fair,0.7459743804762068,46,a,5,0,0,0
fair,0.7459743804762068,46,a,6,0,0,0
fair,0.7459743804762068,46,a,7,0,0,0
fair,0.7459743804762068,46,a,8,0,0,0
fair,0.7459743804762068,46,a,9,0,0,0
fair,0.7459743804762068,47,a,0,69,0,69
fair,0.7459743804762068,47,a,1,5,0,5
fair,0.7459743804762068,47,a,2,0,0,0
fair,0.7459743804762068,47,a,3,0,0,0
